epsilon_a sigma_a sigma_r epsilon_r epsilon_s p q x x x
0.244 254.639 100 -0.033505 0.255168 151.546 154.639 0.430852 -0.0335954 1.22326 
0.245 254.536 100 -0.0335846 0.256195 151.512 154.536 0.430728 -0.0331847 1.22343 
0.246 254.434 100 -0.0336632 0.257221 151.478 154.434 0.430606 -0.0327789 1.22361 
0.247 254.334 100 -0.0337408 0.258247 151.445 154.334 0.430485 -0.032378 1.22378 
0.248 254.235 100 -0.0338175 0.259272 151.412 154.235 0.430366 -0.031982 1.22395 
0.249 254.137 100 -0.0338932 0.260298 151.379 154.137 0.430249 -0.0315907 1.22412 
0.25 254.041 100 -0.033968 0.261323 151.347 154.041 0.430133 -0.0312042 1.22429 
0.251 253.945 100 -0.0340419 0.262347 151.315 153.945 0.430018 -0.0308224 1.22445 
0.252 253.851 100 -0.0341149 0.263372 151.284 153.851 0.429905 -0.0304451 1.22461 
0.253 253.758 100 -0.034187 0.264396 151.253 153.758 0.429793 -0.0300725 1.22477 
0.254 253.666 100 -0.0342582 0.265419 151.222 153.666 0.429683 -0.0297043 1.22493 
0.255 253.576 100 -0.0343285 0.266443 151.192 153.576 0.429574 -0.0293406 1.22509 
0.256 253.486 100 -0.034398 0.267466 151.162 153.486 0.429467 -0.0289813 1.22524 
0.257 253.398 100 -0.0344666 0.268489 151.133 153.398 0.429361 -0.0286264 1.2254 
0.258 253.311 100 -0.0345344 0.269511 151.104 153.311 0.429257 -0.0282757 1.22555 
0.259 253.224 100 -0.0346013 0.270534 151.075 153.224 0.429153 -0.0279293 1.2257 
0.26 253.139 100 -0.0346674 0.271556 151.046 153.139 0.429052 -0.0275871 1.22584 
0.261 253.055 100 -0.0347327 0.272578 151.018 153.055 0.428951 -0.0272491 1.22599 
0.262 252.972 100 -0.0347972 0.273599 150.991 152.972 0.428852 -0.0269151 1.22613 
0.263 252.89 100 -0.034861 0.27462 150.963 152.89 0.428754 -0.0265852 1.22627 
0.264 252.809 100 -0.0349239 0.275641 150.936 152.809 0.428657 -0.0262593 1.22641 
0.265 252.729 100 -0.034986 0.276662 150.91 152.729 0.428562 -0.0259374 1.22655 
0.266 252.65 100 -0.0350474 0.277682 150.883 152.65 0.428468 -0.0256193 1.22669 
0.267 252.573 100 -0.0351081 0.278703 150.858 152.573 0.428375 -0.0253052 1.22682 
0.268 252.496 100 -0.035168 0.279723 150.832 152.496 0.428283 -0.0249948 1.22696 
0.269 252.42 100 -0.0352271 0.280742 150.807 152.42 0.428192 -0.0246882 1.22709 
0.27 252.345 100 -0.0352855 0.281762 150.782 152.345 0.428103 -0.0243853 1.22722 
0.271 252.27 100 -0.0353433 0.282781 150.757 152.27 0.428015 -0.0240861 1.22735 
0.272 252.197 100 -0.0354003 0.2838 150.732 152.197 0.427927 -0.0237906 1.22747 
0.273 252.125 100 -0.0354566 0.284819 150.708 152.125 0.427841 -0.0234986 1.2276 
0.274 252.054 100 -0.0355122 0.285837 150.685 152.054 0.427757 -0.0232102 1.22772 
0.275 251.983 100 -0.0355671 0.286856 150.661 151.983 0.427673 -0.0229253 1.22785 
0.276 251.914 100 -0.0356213 0.287874 150.638 151.914 0.42759 -0.0226438 1.22797 
0.277 251.845 100 -0.0356749 0.288892 150.615 151.845 0.427508 -0.0223658 1.22809 
0.278 251.777 100 -0.0357278 0.289909 150.592 151.777 0.427428 -0.0220912 1.2282 
0.279 251.71 100 -0.0357801 0.290927 150.57 151.71 0.427348 -0.0218199 1.22832 
0.28 251.644 100 -0.0358317 0.291944 150.548 151.644 0.42727 -0.0215519 1.22844 
0.281 251.578 100 -0.0358827 0.292961 150.526 151.578 0.427192 -0.0212872 1.22855 
0.282 251.514 100 -0.0359331 0.293978 150.505 151.514 0.427116 -0.0210257 1.22866 
0.283 251.45 100 -0.0359828 0.294994 150.483 151.45 0.42704 -0.0207674 1.22877 
0.284 251.387 100 -0.036032 0.296011 150.462 151.387 0.426966 -0.0205122 1.22888 
0.285 251.325 100 -0.0360805 0.297027 150.442 151.325 0.426892 -0.0202601 1.22899 
0.286 251.264 100 -0.0361284 0.298043 150.421 151.264 0.42682 -0.0200111 1.2291 
0.287 251.203 100 -0.0361757 0.299059 150.401 151.203 0.426748 -0.0197652 1.2292 
0.288 251.143 100 -0.0362225 0.300074 150.381 151.143 0.426677 -0.0195222 1.22931 
0.289 251.084 100 -0.0362687 0.30109 150.361 151.084 0.426607 -0.0192822 1.22941 
0.29 251.026 100 -0.0363143 0.302105 150.342 151.026 0.426538 -0.0190452 1.22951 
0.291 250.968 100 -0.0363593 0.30312 150.323 150.968 0.42647 -0.018811 1.22961 
0.292 250.911 100 -0.0364038 0.304135 150.304 150.911 0.426403 -0.0185797 1.22971 
