epsilon_a sigma_a sigma_r epsilon_r epsilon_s p q x x
0.00206 109.3726865 100 0.0009431660952 0.001745611302 103.1242288 9.372686522 3.312490617 1.789762038 
0.00208 109.4636835 100 0.0009523230476 0.001762558984 103.1545612 9.463683478 3.312490617 1.789762038 
0.0021 109.5546804 100 0.00096148 0.001779506667 103.1848935 9.554680435 3.312490617 1.789762038 
0.00212 109.6456774 100 0.0009706369524 0.001796454349 103.2152258 9.645677391 3.312490617 1.789762038 
0.00214 109.7366743 100 0.0009797939048 0.001813402032 103.2455581 9.736674348 3.312490617 1.789762038 
0.00216 109.8276713 100 0.0009889508571 0.001830349714 103.2758904 9.827671304 3.312490617 1.789762038 
0.00218 109.9186683 100 0.0009981078095 0.001847297397 103.3062228 9.918668261 3.312490617 1.789762038 
0.0022 110.0096652 100 0.001007264762 0.001864245079 103.3365551 10.00966522 3.312490617 1.789762038 
0.00222 110.1006622 100 0.001016421714 0.001881192762 103.3668874 10.10066217 3.312490617 1.789762038 
0.00224 110.1916591 100 0.001025578667 0.001898140444 103.3972197 10.19165913 3.312490617 1.789762038 
0.00226 110.2826561 100 0.001034735619 0.001915088127 103.427552 10.28265609 3.312490617 1.789762038 
0.00228 110.373653 100 0.001043892571 0.00193203581 103.4578843 10.37365304 3.312490617 1.789762038 
0.0023 110.46465 100 0.001053049524 0.001948983492 103.4882167 10.46465 3.312490617 1.789762038 
0.00232 110.555647 100 0.001062206476 0.001965931175 103.518549 10.55564696 3.312490617 1.789762038 
0.00234 110.6466439 100 0.001071363429 0.001982878857 103.5488813 10.64664391 3.312490617 1.789762038 
0.00236 110.7376409 100 0.001080520381 0.00199982654 103.5792136 10.73764087 3.312490617 1.789762038 
0.00238 110.8286378 100 0.001089677333 0.002016774222 103.6095459 10.82863783 3.312490617 1.789762038 
0.0024 110.9196348 100 0.001098834286 0.002033721905 103.6398783 10.91963478 3.312490617 1.789762038 
0.00242 111.0106317 100 0.001107991238 0.002050669587 103.6702106 11.01063174 3.312490617 1.789762038 
0.00244 111.1016287 100 0.00111714819 0.00206761727 103.7005429 11.1016287 3.312490617 1.789762038 
0.00246 111.1926257 100 0.001126305143 0.002084564952 103.7308752 11.19262565 3.312490617 1.789762038 
0.00248 111.2836226 100 0.001135462095 0.002101512635 103.7612075 11.28362261 3.312490617 1.789762038 
0.0025 111.3746196 100 0.001144619048 0.002118460317 103.7915399 11.37461957 3.312490617 1.789762038 
0.00252 111.4656165 100 0.001153776 0.002135408 103.8218722 11.46561652 3.312490617 1.789762038 
0.00254 111.5566135 100 0.001162932952 0.002152355683 103.8522045 11.55661348 3.312490617 1.789762038 
0.00256 111.6476104 100 0.001172089905 0.002169303365 103.8825368 11.64761043 3.312490617 1.789762038 
0.00258 111.7386074 100 0.001181246857 0.002186251048 103.9128691 11.73860739 3.312490617 1.789762038 
0.0026 111.8296043 100 0.00119040381 0.00220319873 103.9432014 11.82960435 3.312490617 1.789762038 
0.00262 111.9206013 100 0.001199560762 0.002220146413 103.9735338 11.9206013 3.312490617 1.789762038 
0.00264 112.0115983 100 0.001208717714 0.002237094095 104.0038661 12.01159826 3.312490617 1.789762038 
0.00266 112.1025952 100 0.001217874667 0.002254041778 104.0341984 12.10259522 3.312490617 1.789762038 
0.00268 112.1935922 100 0.001227031619 0.00227098946 104.0645307 12.19359217 3.312490617 1.789762038 
0.0027 112.2845891 100 0.001236188571 0.002287937143 104.094863 12.28458913 3.312490617 1.789762038 
0.00272 112.3755861 100 0.001245345524 0.002304884825 104.1251954 12.37558609 3.312490617 1.789762038 
0.00274 112.466583 100 0.001254502476 0.002321832508 104.1555277 12.46658304 3.312490617 1.789762038 
0.00276 112.55758 100 0.001263659429 0.00233878019 104.18586 12.55758 3.312490617 1.789762038 
0.00278 112.648577 100 0.001272816381 0.002355727873 104.2161923 12.64857696 3.312490617 1.789762038 
0.0028 112.7395739 100 0.001281973333 0.002372675556 104.2465246 12.73957391 3.312490617 1.789762038 
0.00282 112.8305709 100 0.001291130286 0.002389623238 104.276857 12.83057087 3.312490617 1.789762038 
0.00284 112.9215678 100 0.001300287238 0.002406570921 104.3071893 12.92156783 3.312490617 1.789762038 
0.00286 113.0125648 100 0.00130944419 0.002423518603 104.3375216 13.01256478 3.312490617 1.789762038 
0.00288 113.1035617 100 0.001318601143 0.002440466286 104.3678539 13.10356174 3.312490617 1.789762038 
0.0029 113.1945587 100 0.001327758095 0.002457413968 104.3981862 13.1945587 3.312490617 1.789762038 
0.00292 113.2855557 100 0.001336915048 0.002474361651 104.4285186 13.28555565 3.312490617 1.789762038 
0.00294 113.3765526 100 0.001346072 0.002491309333 104.4588509 13.37655261 3.312490617 1.789762038 
0.00296 113.4675496 100 0.001355228952 0.002508257016 104.4891832 13.46754957 3.312490617 1.789762038 
